id,roa,stake,luck,blocks,pledge
pool199a44nvtjr0c5xlanz4p5c0nywu8l6k5hz3t2he0hq7wvljnsrt,3.955,5745751570478,1.035,5,25095502912
pool15mfkj8sl7estcmmd5a07afrx5f4hlz3pcr6p6ay5pfmrjfl2hlf,3.819,998721822372,0.977,0,424168200288
pool1gu33fszp9ek0w9fkdt2xpnp4vznvvv2vhktc0dypa8fr53lc9pc,2.966,4226513604253,1.056,2,238084599248
pool1yd67lvc04eztwrpnefqh3g4dsydmezwgrg6ce4km728v6sg8zwf,3.046,8119365271640,1.065,8,77390995751
pool1h6q8jj55dn6727yydlypu0rz4sflf2enxhs0thqydmddgu3shl5,3.337,5204037079835,1.019,5,354952886791
pool1gxvkc0576e75065p5k0csvwme9y2qrefd5ga66nx0z65xxjt8jk,15.819,7827483279505,1.171,5,13005386570
pool1r8938r4ts8f4t8nsp9xl9dktzapt7f67jgpsp4wrju39xrdnaye,2.631,5636481420257,1.009,5,71555579226
pool1n7s5kpymwd0zsld8q23tpf7z5esjaqwmnnzzssee5630zpx5ww0,4.083,2503244635198,0.976,2,124584018001
pool1cduc7ut6grhqyavrmm3gzcdf4qfdsjk7vdwcxy9c0r5fyaxh2sq,2.624,21014271177521,0.951,15,13118995103
pool15cy4p3axu0m6sfrmxsp46z5cevx3ruksfwjl48730cgx24j4ydz,3.239,5687807323215,1.004,4,117053248684
pool1sf784g6eje8vzq9f5wu583eurhfq2ee9hzyhl46yezkuqqtmw07,2.942,6350619521149,1.019,5,100886297258
pool180fejev4xgwe2y53ky0pxvgxr3wcvkweu6feq5mdljfzcsmtg6u,4.653,1937686394801,1.116,1,55937990620
pool12pvaxxcv3sgad5jqgfnggn337y76kp02uauptkufjjjes7nxwfm,3.026,271283696791,1.008,0,130742910464
pool1nhd907krga9dh69kf0jg4tl0764rravepy337gptvsknxyyx94k,2.966,1870633916421,0.99,0,100901137416
pool1q80jjs53w0fx836n8g38gtdwr8ck5zre3da90peuxn84sj3cu0r,3.112,2079536973774,1.003,2,200792852841
pool1egunxfppwtglyu3t864uq76y0zu05s7pjda3e9g95nwlwc5ye2h,3.026,1483293934403,0.974,1,624957662547
pool1pfdd8d8n7jx0xnk4uev3x36se87c747w6l2d5x7fanh5w9evhw2,2.567,6736200869723,0.98,4,535140767380
pool13zq5jktx7xmngfer82nkrs8aqjklmydntxdqzttas328yuttgx6,3.409,3541196894520,0.956,3,85602624193
pool1cg559cdc25fkvs73umj6w5nxlwy3mpmj02xt7p4v69eqs5ncz9k,2.412,4073512793192,1.018,7,162119393692
pool17ynruzy9lvq0x55ks22vtf4lrrdrw2ucydh4tfzhg9kkyeaw8nf,2.297,2934425400857,1.016,4,30362634338
pool1kkmk9dnzrrjtnsejttydecmq63x4dpkln70yfledaednj7mf7rk,3.24,905048048435,0.991,1,454727869166
pool1u0u2s080a5plun4acn6s70xa3q98ct7skt88l7w6nnwwyl9ecym,3.982,799085151044,0.907,1,61066549619
pool1je2n5smmnyn3lh92xrp8nepjyfp596ypga6pmdecwtcrcj9uvec,2.979,2187208521466,0.92,0,125009711025
pool1p8yn95k4wgznc38ezckler84ufc6kxemmsvptv74r3g4zkxj24q,2.866,156846309651,0.902,0,117002749981
pool12584mjtgz3fhgpx823qht56gycnfnezg6aqqthazv4qdxkd5c46,2.601,841560560648,1.017,1,73453611415
pool1zt2d9aa8ck62uyy985yny47hr0f6cmf2hnxzke0up0lc7zcp65f,2.953,1081330490495,0.898,0,27635837121
pool1zkdc6ve9nndk7vxnjlalhqt4hr5h8auz5qzjk7lrjrqtv23yuy5,2.971,3989545506429,1.03,1,101419051784
pool1t847w2hfv33qrra7q33nzq8epvcxv6ydshcq7w7j23c87xv2c2k,2.534,3876502518856,1.011,2,30715370578
pool1mdyuct0kgd0hcjjnea999me5dxqpepr4y8du4smegfm3vlr37w5,2.37,4294097029281,0.993,6,100545793785
pool1q8a7ym63gurl72wr32je0tv0lp4p2uh8vzzc6rn6un7ryslvqmu,2.013,6529810011303,0.916,5,40239149772
pool1a5jd3x2udlvpm9mt4gpau4jlags6qtth6jdsguryh2zy27f5ttj,2.37,986242924730,0.971,0,21843272330
pool1huyzkfxwnttj7r4530hv7gc5v6mzk75vuzysc75aemu85mae9vd,2.143,302338719561,0.933,0,140327580021
